=== Ver3 GUI Log Started at 2025-10-09 17:30:13 ===
[2025-10-09 17:38:19] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:38:19] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:38:25] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:38:25] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:38:30] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:38:30] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:38:35] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:38:35] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:38:41] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:38:41] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:38:46] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:38:46] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:38:51] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:38:51] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:38:57] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:38:57] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:39:02] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:39:02] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:39:07] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:39:07] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:39:13] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:39:13] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:39:18] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:39:18] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:39:23] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:39:24] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:39:29] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:39:29] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:39:34] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:39:34] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:39:39] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:39:40] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:39:45] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:39:45] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:39:50] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:39:51] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:39:56] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:39:56] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:40:01] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:40:01] [WARNING] SOL: No position data found - P&L will show 0%
[2025-10-09 17:40:06] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:40:12] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:40:17] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:40:22] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:40:28] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:40:33] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:40:38] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:40:44] [WARNING] XRP: No position data found - P&L will show 0%
