timestamp,equity,position_value,total_equity,peak,drawdown
2025-07-10 16:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-10 20:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-11 00:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-11 04:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-11 08:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-11 12:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-11 16:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-11 20:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-12 00:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-12 04:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-12 08:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-12 12:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-12 16:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-12 20:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-13 00:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-13 04:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-13 08:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-13 12:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-13 16:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-13 20:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-14 00:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-14 04:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-14 08:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-14 12:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-14 16:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-14 20:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-15 00:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-15 04:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-15 08:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-15 12:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-15 16:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
2025-07-15 20:00:00,10000000.0,0.0,10000000.0,10000000.0,0.0
