min_entry_score,rsi_oversold,stoch_oversold,bb_std,chandelier_multiplier,position_size_pct,total_trades,winning_trades,losing_trades,win_rate,total_pnl,return_pct,profit_factor,final_capital
2,25,15,1.5,2.0,0.3,184,14,170,7.608695652173914,-308142.94545791694,-3.081429454579167,0.3034017356347395,9691857.054542083
2,25,15,1.5,2.0,0.5,184,14,170,7.608695652173914,-508803.8272689348,-5.088038272689432,0.30336484421748067,9491196.172731057
2,25,15,1.5,2.0,0.7,184,14,170,7.608695652173914,-705721.8202959998,-7.057218202960007,0.30333409114376003,9294278.179704
2,25,15,1.5,2.5,0.3,191,24,167,12.56544502617801,-252549.66648043972,-2.5254966648044253,0.5219498788063176,9747450.333519557
2,25,15,1.5,2.5,0.5,191,24,167,12.56544502617801,-418328.6075617103,-4.1832860756170565,0.522347614783547,9581671.392438294
2,25,15,1.5,2.5,0.7,191,24,167,12.56544502617801,-582048.4018607438,-5.820484018607531,0.5227538341924136,9417951.598139247
2,25,15,1.5,3.0,0.3,193,32,161,16.580310880829018,-248877.64700094704,-2.488776470009536,0.6278922519323746,9751122.352999046
2,25,15,1.5,3.0,0.5,193,32,161,16.580310880829018,-412795.75672039995,-4.12795756720392,0.6272086676315145,9587204.243279608
2,25,15,1.5,3.0,0.7,193,32,161,16.580310880829018,-575102.0105196568,-5.751020105196685,0.6265412970865641,9424897.989480332
2,25,15,1.5,3.5,0.3,194,42,152,21.649484536082475,-203594.79052059562,-2.0359479052058607,0.7683998956555853,9796405.209479414
2,25,15,1.5,3.5,0.5,194,42,152,21.649484536082475,-339757.04534721654,-3.3975704534721562,0.7670534418826042,9660242.954652784
2,25,15,1.5,3.5,0.7,194,42,152,21.649484536082475,-476178.3424913185,-4.761783424913138,0.7657182194794645,9523821.657508686
2,25,15,2.0,2.0,0.3,156,14,142,8.974358974358974,-294423.069950121,-2.9442306995011496,0.2388332652535037,9705576.930049885
2,25,15,2.0,2.0,0.5,156,14,142,8.974358974358974,-486219.7712725997,-4.862197712725959,0.2376322143144392,9513780.228727404
2,25,15,2.0,2.0,0.7,156,14,142,8.974358974358974,-674498.6789184781,-6.744986789184865,0.23643268017979552,9325501.321081514
2,25,15,2.0,2.5,0.3,163,24,139,14.723926380368098,-233668.83567857556,-2.336688356785793,0.5239943849408194,9766331.16432142
2,25,15,2.0,2.5,0.5,163,24,139,14.723926380368098,-387264.80268187355,-3.8726480268186703,0.5238035368145701,9612735.197318133
2,25,15,2.0,2.5,0.7,163,24,139,14.723926380368098,-539121.8925439133,-5.391218925439119,0.5236192417447169,9460878.107456088
2,25,15,2.0,3.0,0.3,163,31,132,19.018404907975462,-222977.3624199757,-2.229773624199834,0.655813426864066,9777022.637580017
2,25,15,2.0,3.0,0.5,163,31,132,19.018404907975462,-370370.38752211165,-3.7037038752211258,0.6547539641888035,9629629.612477887
2,25,15,2.0,3.0,0.7,163,31,132,19.018404907975462,-516734.61930662254,-5.167346193066239,0.6537072894411853,9483265.380693376
2,25,15,2.0,3.5,0.3,164,40,124,24.390243902439025,-192334.90056294738,-1.9233490056296063,0.7735800608731167,9807665.09943704
2,25,15,2.0,3.5,0.5,164,40,124,24.390243902439025,-321445.9570535524,-3.21445957053544,0.7718074507944374,9678554.042946456
2,25,15,2.0,3.5,0.7,164,40,124,24.390243902439025,-451170.3865515278,-4.5117038655153845,0.7700466805109014,9548829.613448462
2,25,15,2.5,2.0,0.3,126,13,113,10.317460317460316,-276482.6572293176,-2.764826572293192,0.21328824331451304,9723517.34277068
2,25,15,2.5,2.0,0.5,126,13,113,10.317460317460316,-456871.18920222996,-4.56871189202223,0.21224677415747878,9543128.810797777
2,25,15,2.5,2.0,0.7,126,13,113,10.317460317460316,-634170.554093645,-6.341705540936515,0.21120981872344743,9365829.445906349
2,25,15,2.5,2.5,0.3,131,22,109,16.793893129770993,-234512.0663939952,-2.3451206639400684,0.5033103440443987,9765487.933605993
2,25,15,2.5,2.5,0.5,131,22,109,16.793893129770993,-388688.86249702657,-3.8868886249702426,0.5037321005679938,9611311.137502976
2,25,15,2.5,2.5,0.7,131,22,109,16.793893129770993,-541139.7167316973,-5.411397167317011,0.5041619314670728,9458860.283268299
2,25,15,2.5,3.0,0.3,129,27,102,20.930232558139537,-257943.10029696906,-2.5794310029695926,0.5785686601561605,9742056.89970304
2,25,15,2.5,3.0,0.5,129,27,102,20.930232558139537,-427581.3177398797,-4.275813177398704,0.5782002065496742,9572418.68226013
2,25,15,2.5,3.0,0.7,129,27,102,20.930232558139537,-595355.9627837474,-5.953559627837446,0.5778482660055747,9404644.037216255
2,25,15,2.5,3.5,0.3,129,35,94,27.131782945736433,-286596.4339900024,-2.8659643398999797,0.6438901015222436,9713403.566010002
2,25,15,2.5,3.5,0.5,129,35,94,27.131782945736433,-475132.4041918977,-4.751324041918963,0.6435796959706677,9524867.595808104
2,25,15,2.5,3.5,0.7,129,35,94,27.131782945736433,-661616.3791516726,-6.616163791516833,0.6432785187542546,9338383.620848317
2,25,20,1.5,2.0,0.3,208,18,190,8.653846153846153,-382933.80770352646,-3.8293380770354344,0.28357999479528734,9617066.192296457
2,25,20,1.5,2.0,0.5,208,18,190,8.653846153846153,-630666.990279424,-6.30666990279425,0.28360317110472344,9369333.009720575
2,25,20,1.5,2.0,0.7,208,18,190,8.653846153846153,-872506.4501448516,-8.725064501448404,0.2836362181567393,9127493.54985516
2,25,20,1.5,2.5,0.3,217,29,188,13.36405529953917,-411836.3732902871,-4.118363732902985,0.4268920737598459,9588163.626709701
