momentum_weight,short_mom_weight,volatility_weight,volume_weight,target_count,total_return,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,profit_factor,calmar_ratio,volatility
0.2,0.1,0.5,0.0,15,8.989748785512287,2.3948706889797298,5.567693166425145,-2.135189304767382,54.83870967741935,2.534006085911105,9.097483841913045,6.256081290732809
0.2,0.1,0.5,0.0,10,6.740003753946433,1.6511881510252713,3.660693398891623,-2.800257914959825,52.38095238095239,1.8905046124105964,5.141334741910504,6.4713248454623065
0.2,0.1,0.5,0.0,20,6.208026061589034,1.5512635666426569,3.412726415050856,-2.4840682818634607,54.054054054054056,1.8535735739741273,5.323711783293426,6.212049957171879
0.2,0.4,0.3,0.0,15,7.446948986141,1.5408506315966424,3.135323508526515,-4.249544929369186,41.46341463414634,1.9464773002483204,3.7568640140335217,7.886035447330851
0.2,0.1,0.5,0.1,15,6.098293889225581,1.400320485154074,3.1495959542437357,-3.5917824261799014,43.24324324324324,1.9175908541993372,3.6147409609718615,6.753911577281755
0.2,0.3,0.3,0.0,15,6.613166867618481,1.3708604987599426,2.724730646535203,-4.264653371220383,41.02564102564102,1.8399519551649488,3.3102153396111658,7.677883927660564
0.2,0.2,0.5,0.0,20,5.818100955066696,1.362232827801055,2.863663100966611,-2.492329848890207,45.0,1.6440023994438702,4.962798841636388,6.531117112559745
0.3,0.1,0.2,0.2,10,7.4769045753996455,1.3460587350454936,2.959873161843881,-4.334317514550579,56.00000000000001,2.280314588888925,3.6987696897170537,9.148747527836772
0.4,0.4,0.1,0.2,10,8.054005655479424,1.3306080053127431,2.895202727947046,-4.265182084294972,55.172413793103445,2.2794051219226836,4.060810981221711,10.159664713504219
0.2,0.1,0.5,0.1,20,5.3454081434500145,1.2714454579905663,2.817863151319522,-3.23808389993131,42.22222222222222,1.8477522042893135,3.5009225440082035,6.25580377157439
0.4,0.1,0.1,0.2,10,7.870088424123689,1.2678359793224225,2.668730986196941,-4.32173317382778,50.0,2.200294762443751,3.9124772157450525,10.405089971191355
0.2,0.1,0.4,0.2,20,5.631930572700017,1.2589386302302243,2.7033981727784893,-4.0015137692006375,43.75,1.988269716963994,2.9892775638936087,6.791608257656513
0.4,0.2,0.1,0.2,10,7.699701268972614,1.251769696912721,2.6534666660610258,-4.288383838058474,51.61290322580645,2.153756885215233,3.8541786451219306,10.266137971268307
0.4,0.1,0.3,0.2,10,6.88165754689769,1.2442213467587906,2.630423728394387,-4.2557506811298325,56.00000000000001,2.0727397058594903,3.45658163308787,8.962092906381756
